timestamp,cpu_temperature,cpu_usage,cpu_load,memory_usage,battery_level,cpu_power
2024-07-23 19:54:35.941578,57.0,93.1,1.61,48.8,86,8.46204662322998
2024-07-23 19:54:39.007098,70.0,84.6,1.61,49.0,86,15.345070838928223
2024-07-23 19:54:42.141491,60.0,84.1,1.48,48.6,86,10.895132064819336
2024-07-23 19:54:45.323709,64.0,87.5,1.36,49.0,86,10.814932823181152
2024-07-23 19:54:48.390368,60.0,88.8,1.36,48.7,86,10.908710479736328
2024-07-23 19:54:51.658021,63.0,85.2,1.66,48.5,85,12.149569511413574
2024-07-23 19:54:55.357736,58.0,94.1,2.08,48.8,85,11.204639434814453
2024-07-23 19:54:58.440374,63.0,90.1,2.08,49.1,85,19.878854751586914
2024-07-23 19:55:01.609247,64.0,87.9,2.32,48.9,85,14.99279499053955
2024-07-23 19:55:04.822074,65.0,84.4,2.32,48.9,85,11.859893798828125
2024-07-23 19:55:07.836342,61.0,87.5,2.21,48.8,85,11.230774879455566
2024-07-23 19:55:10.875686,63.0,86.0,2.35,48.7,84,11.235281944274902
2024-07-23 19:55:13.951109,59.0,84.0,2.35,48.7,84,10.189739227294922
2024-07-23 19:55:17.025461,65.0,82.4,2.81,48.7,84,13.652551651000977
2024-07-23 19:55:20.239762,59.0,83.0,2.82,48.7,84,10.150909423828125
2024-07-23 19:55:23.548187,63.0,86.4,2.82,48.9,84,12.390277862548828
2024-07-23 19:55:26.710569,61.0,86.3,3.07,48.8,84,12.742600440979004
2024-07-23 19:55:29.794142,70.0,83.9,3.07,49.0,84,12.905978202819824
2024-07-23 19:55:32.977835,81.0,91.1,3.47,49.0,84,15.568608283996582
2024-07-23 19:55:36.329891,60.0,86.5,3.43,49.2,84,9.976290702819824
2024-07-23 19:55:39.410881,60.0,89.0,3.43,48.8,84,11.683378219604492
2024-07-23 19:55:42.544627,61.0,88.0,3.24,48.7,84,13.242558479309082
2024-07-23 19:55:45.596326,61.0,84.0,3.46,48.7,84,12.975088119506836
2024-07-23 19:55:48.630005,61.0,88.4,3.46,49.2,84,11.62603759765625
2024-07-23 19:55:51.699461,66.0,83.8,3.5,49.3,83,12.462233543395996
2024-07-23 19:55:54.895574,58.0,86.6,3.38,49.1,83,10.296008110046387
2024-07-23 19:55:58.129369,59.0,87.2,3.38,49.4,83,10.009673118591309
2024-07-23 19:56:01.265689,59.0,85.6,3.35,49.3,83,10.516261100769043
2024-07-23 19:56:04.479796,63.0,85.3,3.35,48.9,83,12.93261432647705
2024-07-23 19:56:07.630289,59.0,91.3,3.4,49.0,83,9.770086288452148
2024-07-23 19:56:10.797215,65.0,80.1,3.37,49.4,83,13.411306381225586
2024-07-23 19:56:13.923725,61.0,92.6,3.37,49.6,83,11.184494972229004
2024-07-23 19:56:17.132020,73.0,81.8,3.26,50.0,83,16.066190719604492
2024-07-23 19:56:20.248581,63.0,89.5,3.4,49.6,83,11.421651840209961
2024-07-23 19:56:23.446515,61.0,83.3,3.4,50.1,83,12.779203414916992
2024-07-23 19:56:26.548208,60.0,86.5,3.29,49.9,83,11.906121253967285
2024-07-23 19:56:29.700803,60.0,80.8,3.29,50.0,83,10.334993362426758
2024-07-23 19:56:32.815952,61.0,91.4,3.18,49.5,82,10.19101333618164
2024-07-23 19:56:35.964733,58.0,84.2,2.93,49.8,82,12.025564193725586
2024-07-23 19:56:39.083539,60.0,86.3,2.93,49.6,82,9.974018096923828
2024-07-23 19:56:42.149428,61.0,83.2,3.1,49.8,82,14.91970157623291
2024-07-23 19:56:45.199771,61.0,80.3,2.85,50.4,82,12.034594535827637
2024-07-23 19:56:48.393612,59.0,70.4,2.85,49.3,82,9.778290748596191
2024-07-23 19:56:51.462086,58.0,77.0,2.62,48.8,82,8.67483139038086
2024-07-23 19:56:54.598954,58.0,85.3,2.62,49.1,82,11.02205753326416
2024-07-23 19:56:57.734830,60.0,82.6,2.41,49.0,82,10.896523475646973
2024-07-23 19:57:00.901817,58.0,77.7,2.62,49.1,82,9.635529518127441
2024-07-23 19:57:04.035615,58.0,81.4,2.62,48.7,82,9.49936294555664
2024-07-23 19:57:07.084665,58.0,84.9,2.57,48.5,82,9.870768547058105
